id,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24,Hour25,Hour26,Hour27,Hour28,Hour29,Hour30,Hour31,Hour32,Hour33,Hour34,Hour35,Hour36,Hour37,Hour38,Hour39,Hour40,Hour41,Hour42,Hour43,Hour44,Hour45,Hour46,Hour47,Hour48,Hour49,Hour50,Hour51,Hour52,Hour53,Hour54,HourTotal
5123,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6
5125,2,8,21,67,,,,,,,,,,,,,,,,1,9,2,285,87,167,36,510,706,164,321,3,,,,19,,,,7,11,,,,,,1,,2,18,28,63,106,80,16,2740
5127,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,1,13
5129,,,,,1,,,,,,,,,,,,,,,,1,,,2,1,1,,3,,,,,,,,,,,,,,,,,,,,,1,,2,3,,2,17
5131,17,18,29,,1,,,5,,,,,,,,,77,,,,67,208,47,233,6,162,366,124,483,46,,,,,,,,,,1,,,,8,61,46,333,295,190,47,26,111,178,305,3490
5133,,,,,,,,1,1,,,,,,,,,,,,4,1,,4,1,5,8,1,,,,,,,,,,,,,,,,,,2,,,,3,,1,2,3,37
5135,,,2,,,,,,,,,,,,,,,,,,,1,,2,3,5,,,,54,143,,,,,,,,,,,,,,,,1,,,2,6,,,2,221
5137,4,,8,4,,,,,,,,,,,,,,,1,1,2,1,1,,6,2,4,5,,,,,,,,,,,,,,,,,,,,,,5,10,11,,1,66
5139,,1,,,,1,,,,,,,,,,,,,,2,4,,,7,2,3,29,15,83,,,,,,,,,,,,,,,,,11,2,9,33,59,89,5,,84,439
5141,,,5,1,,,,,,,,,,,,,,,,,1,,,,4,2,,,,1,,,,,1,,,,3,1,,,,,,,,,2,3,3,2,,1,30
5143,219,93,25,33,14,,,1,,,,,,,,,12,109,373,427,151,271,187,314,263,62,245,429,265,,1,,,,,,,,,1,,,102,164,271,272,279,433,268,472,308,303,180,,6547
5145,,3,1,4,,,,,,,,,,,,,,,,,4,1,,,11,13,1,108,71,234,4,,,,4,,,,5,4,,,,,,,,1,8,10,13,8,1,11,520
5147,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,,26
5149,,,,,,,,,,,,,,,,,,,1,,2,,,1,,1,3,1,,,,,,,,,,,,1,,,,,,,,,1,35,10,,,,56
6001,44,319,289,674,2188,604,1,,,,5,4,,,8,,,2,77,457,4575,2645,1096,428,557,254,259,159,66,165,81,,,,,1721,,,11,,1,46,1522,492,747,340,287,639,875,420,182,185,228,52,22705
6005,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,1,,,,4
6007,,,,,,2,,,,,,,,,,,,,,,,2,,,1,,2,,,1,,,,,,,,,,,,,,,,,,,1,,1,1,,,11
6009,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,4
6011,20,56,74,30,9,,,,,,,,,,,,,,,,6,73,79,112,126,92,23,,2,3,,,,,,,,,,,,,,,3,19,16,30,76,87,55,21,5,2,1019
6013,4,2,,4,10,4,,,,,,,,,3,,1,1,2,5,5,29,6,7,,10,2,2,1,,,,,,,,,,11,,1,1,3,1,1,,1,125,878,873,147,17,1,,2158
6017,,,2,,,1,,,,,,,,,,,,,1,,,4,1,,,3,,,,,,,,,,,,,1,,,,,1,,,1,2,4,,1,,,1,23
6019,13,94,139,9,1,1,,,,,,,,,5,,,1,2,99,111,54,160,133,103,150,98,108,30,41,5,25,,,,,,,,,,,,,42,85,184,88,67,81,87,63,58,7,2144
6021,23,43,65,8,3,,,,,,,,,,,,,,,,6,22,4,4,2,1,,,,,,,,,,,,,,,,,,1,3,2,,5,11,6,5,5,5,2,226
6025,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3
6027,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6029,109,231,419,105,35,4,,,,,,,,,3,,,,7,172,136,122,328,460,318,298,245,122,105,134,75,,,,,,,,4,,1,,,114,127,154,274,268,275,407,395,195,520,270,6432
6031,14,118,97,11,,,,,,,,,,,,1,,,,38,60,28,68,18,75,52,41,40,9,4,12,,,,,,,,,,,,,10,47,39,58,156,56,129,94,65,38,66,1444
6033,79,81,130,29,10,,,,,,,,,,,,,,,1,16,15,5,13,9,12,,,3,,,,,,,,,,,,,,,2,5,3,,7,41,23,15,19,8,6,532
6037,113,210,1015,3217,4463,1279,2,1,3,,1,1,,,56,1,2,5,273,6145,9751,2798,595,453,371,267,703,352,452,25,3,1,,1,,,1,,46,,301,2,11,2909,38,239,558,438,414,377,393,446,328,12,39072
6039,,,,,,,,2,,,,,,,,,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10
6041,1,2,2,2,2,1,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,1,,1,,,5,4,,25
6043,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2
6047,,,2,5,,,,,,1,,,,,,,,,,2,,1,,1,14,15,7,,,,,,,,,,,,2,,,,,,,,,1,2,,,,,,53
6049,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6053,,,,,,,,,,,,,,,,,,,1,5,,5,1,,,,,,,,,,,1,,1,,,1,,,,,,,,,,3,1,,,,,19
6055,,,,,,,,,,,,,,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,2,,,8
6057,,1,,,,1,,,,,,,,,,,,,,1,,,1,,,1,,,2,,,,,,,,,,2,,,,,,,,,,1,,2,,1,,13
6059,5,4,253,851,841,253,1,,,,,,,,14,,,,5,836,1260,504,63,48,37,48,42,10,3,1,1,,,,,,,,12,,17,1,,5,,57,118,158,19,111,248,457,365,2,6650
6061,,,3,1,2,1,,,,,,,,,,,,,,2,20,34,3,4,5,7,6,6,3,,,,,,,,,,,,,,,5,,,1,,1,,3,1,,1,109
