id,Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24,Hour25,Hour26,Hour27,Hour28,Hour29,Hour30,Hour31,Hour32,Hour33,Hour34,Hour35,Hour36,Hour37,Hour38,Hour39,Hour40,Hour41,Hour42,Hour43,Hour44,Hour45,Hour46,Hour47,Hour48,Hour49,Hour50,Hour51,Hour52,Hour53,Hour54,HourTotal
5095,,1,1,2,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,2,,,12
5097,,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,1,,,,11
5099,1,,14,12,1,,,2,,,,,,,,,,,,9,3,15,6,,8,7,,,,,,4,,,,,,,,,,,,,,,9,,5,,,,,,,96
5101,,,,7,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,1,,,,,,,,,,,,,,,,,,,,,8,,,24
5103,9,1,1,24,21,,,242,,,,,,,,,,,,1,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,4,3,11,7,,,465
5105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,,,,7
5107,,1,,,1,,,5,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,1,,,,,13
5109,,,6,9,,,,198,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,1,,,,,218
5111,,,7,,,,,38,,,,,,,,,,,,,,,,42,41,,,,,,,11,,,,,,,,,,,,,,,,,,,,3,10,1,,153
5113,,,2,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,,,,,,,,,1,,1,4,,,,421
5115,,,9,74,7,,,257,,1,,,,,,,,,,,,1,,,,,119,54,,13,,279,,,,,,,,,,,,,,,,,,,,3,158,7,,982
5117,,,,4,,,,33,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,4,,,43
5119,357,507,391,313,400,24,,10014,,,,,,,,,,,53,199,390,307,185,256,158,73,10,110,190,20,,2938,,,,,,,,,,,,,,34,82,68,174,222,239,316,268,6,,18304
5121,,5,33,14,7,,,5,,,,,,,,,,,,,,1,,,,7,10,,,,,,,,,,,,,,,,,,,,,,,,1,16,8,,,107
5123,52,39,1,,18,1,,470,,,,,,,,,,,,,,,,,,8,7,,1,,,111,,,,,,,,,,,,,,,,,18,3,,,,,,729
5125,14,18,22,50,116,28,,729,,,,,,,,,,,1,1,1,3,8,2,,,,1,63,3,,405,,,,,,,,,,,,,,,,,15,20,16,52,52,,,1620
5127,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,2,,,,,,,,28
5129,,1,2,,1,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,5,,,14
5131,,1,4,10,23,1,,1942,,,,,,,,,,16,23,,1,20,23,46,45,,,,,,94,1196,,,,,,,,,,,32,16,,,1,7,32,64,21,37,31,,,3686
5133,4,,2,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,3,2,4,4,2,,,,66
5135,1,2,1,3,12,,,8,,,,,,,,,,,,,,,,,,2,6,5,10,2,,8,,,,,,,,,,,,,,,,,,,2,5,5,,,72
5137,6,3,2,7,8,,,5,,,,,,,,,,,,,,,,,,5,3,4,3,,,10,,,,,,,,,,,,,,,,,1,,1,4,9,,,71
5139,1,,1,4,,,,199,,,,,,,,,,,,11,8,1,1,2,1,,,,,,,220,,,,,,,,,,,,,,,6,,,3,6,,4,,,468
5141,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,5
5143,48,28,49,87,164,3,,1166,,,,,1,,,,1,,52,191,185,109,90,110,77,72,72,92,110,3,,1259,,,,,,,,,1,,,,,60,155,104,118,144,187,117,84,,,4939
5145,,7,,4,,,,169,,,,,,,,,,,3,,,1,6,1,,,,,,,,3,,,,,,,,,,,,,,,,,,6,5,1,,,,206
5147,,1,1,,3,,,1,,,,,,,,,,,,,1,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
5149,,,,,1,,,23,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,1,,,,37
6001,61,51,326,629,249,333,159,5366,2,,1,2,,,,3,,1,3,68,609,925,1944,698,752,161,204,220,144,95,,2262,2,,,,,,,,,1,2,54,382,333,386,605,1100,2414,1949,1625,1842,1953,116,28032
6007,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4
6009,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,5
